City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Albany,1,US,1584581880,38,42.6,-73.97,46.99,6.93
Saint Anthony,90,US,1584581659,80,45.02,-93.22,43.0,5.82
Noumea,1,NC,1584581882,58,-22.28,166.46,84.2,20.8
Nyurba,100,RU,1584581882,90,63.28,118.33,18.41,10.25
Kolpny,45,RU,1584581882,88,52.23,37.04,35.87,11.99
Karratha,0,AU,1584581882,73,-20.74,116.85,86.63,10.29
Jesús Carranza,0,MX,1584581882,94,17.43,-95.03,72.05,5.32
Pasir Gudang,40,MY,1584581882,74,1.46,103.88,84.2,5.82
Nokia,90,FI,1584581882,94,61.47,23.5,34.0,9.17
Estelle,75,US,1584581882,83,29.85,-90.11,75.2,12.75
Cabo San Lucas,20,MX,1584581860,56,22.89,-109.91,78.8,20.8
Punta Arenas,40,CL,1584581882,75,-53.15,-70.92,46.4,11.41
Nizwá,0,OM,1584581883,44,22.93,57.53,64.67,0.72
Mata,77,PT,1584581883,87,40.68,-7.46,55.0,1.01
Hobart,75,AU,1584581746,45,-42.88,147.33,68.0,4.7
Terney,100,RU,1584581883,65,45.05,136.61,44.15,3.24
Opuwo,78,NA,1584581884,90,-18.06,13.84,65.57,7.14
Buraidah,0,SA,1584581884,67,26.33,43.98,57.2,4.7
Carnarvon,30,AU,1584581884,28,-24.87,113.63,82.4,13.87
Hilo,90,US,1584581884,65,19.73,-155.09,78.8,13.87
Kavieng,81,PG,1584581884,68,-2.57,150.8,83.21,3.67
Chui,22,UY,1584581884,98,-33.7,-53.46,67.37,6.73
Avarua,100,CK,1584581842,79,-21.21,-159.78,86.0,14.99
Alofi,100,NU,1584581884,87,-19.06,-169.92,78.35,8.7
Mataura,100,NZ,1584581886,88,-46.19,168.86,60.01,18.01
São João da Barra,0,BR,1584581887,88,-21.64,-41.05,76.01,3.67
Muros,27,ES,1584581888,93,42.78,-9.06,57.0,1.12
Oudtshoorn,10,ZA,1584581888,93,-33.59,22.2,64.4,3.36
Pokhara,6,NP,1584581888,37,28.23,83.98,71.69,1.28
Taft,90,IR,1584581888,71,31.75,54.21,57.2,4.7
Seoul,75,KR,1584581866,66,37.57,126.98,50.0,13.87
Srednekolymsk,7,RU,1584581888,82,67.45,153.68,-11.11,5.14
Saint Paul Harbor,1,US,1584581889,39,57.79,-152.41,44.6,9.98
Mar del Plata,90,AR,1584581890,82,-38.0,-57.56,66.2,9.17
Lagoa,69,PT,1584581890,68,39.05,-27.98,55.13,16.89
Avera,90,US,1584581890,88,33.19,-82.53,73.4,6.93
Manta,75,EC,1584581890,78,-0.95,-80.73,80.6,6.93
Tuktoyaktuk,90,CA,1584581890,92,69.45,-133.04,24.8,17.22
Belogorsk,80,RU,1584581890,96,50.92,128.46,27.23,7.72
Nemuro,68,JP,1584581890,52,43.32,145.57,42.8,8.05
Necochea,100,AR,1584581890,98,-38.55,-58.74,59.0,3.0
Xifeng,100,CN,1584581892,46,42.74,124.72,39.83,12.41
East London,0,ZA,1584581793,74,-33.02,27.91,69.17,8.66
Leningradskiy,100,RU,1584581896,91,69.38,178.42,15.17,4.99
Nanortalik,100,GL,1584581896,95,60.14,-45.24,29.75,40.53
Cayenne,75,GF,1584581896,78,4.93,-52.33,80.6,9.17
Kisangani,100,CD,1584581897,95,0.52,25.2,69.71,0.98
Mossamedes,100,AO,1584581898,80,-15.2,12.15,73.49,12.75
Revelstoke,1,CA,1584581898,60,50.98,-118.2,39.2,3.36
Preston,20,GB,1584581898,93,53.77,-2.72,43.0,2.24
Virginia Beach,75,US,1584581873,81,36.85,-75.98,52.0,11.14
Faya,40,SA,1584581899,87,18.39,42.45,60.8,13.87
Turka,11,UA,1584581899,85,49.15,23.03,39.0,3.04
Chifeng,0,CN,1584581901,29,42.27,118.96,38.03,31.52
Vila Velha,75,BR,1584581881,88,-20.33,-40.29,79.0,4.7
Qaanaaq,0,GL,1584581901,54,77.48,-69.36,-16.87,6.04
Jamkhandi,17,IN,1584581901,29,16.52,75.3,86.45,18.3
Bregovo,0,BG,1584581901,69,44.15,22.64,40.73,1.21
Dabat,66,ET,1584581901,34,12.98,37.77,53.87,2.3
Rochegda,92,RU,1584581901,98,62.8,43.25,25.97,3.24
Kieta,69,PG,1584581902,71,-6.22,155.63,83.75,5.17
Dikson,100,RU,1584581902,93,73.51,80.55,-2.83,15.17
Grand Gaube,20,MU,1584581902,88,-20.01,57.66,75.2,2.24
Thompson,75,CA,1584581902,45,55.74,-97.86,3.2,5.82
Hermanus,0,ZA,1584581902,89,-34.42,19.23,60.01,1.01
Butaritari,2,KI,1584581902,81,3.07,172.79,82.49,16.78
Magalia,90,US,1584581688,62,39.81,-121.58,51.8,4.7
Port Alfred,0,ZA,1584581902,85,-33.59,26.89,66.99,8.25
Longyearbyen,75,SJ,1584581902,76,78.22,15.64,-9.4,9.17
Koppang,75,NO,1584581903,77,61.57,11.06,25.0,1.01
Nikolskoye,75,RU,1584581903,100,59.7,30.79,36.0,11.18
Barrow,90,US,1584581903,92,71.29,-156.79,21.2,23.04
Dunedin,44,NZ,1584581903,58,-45.87,170.5,65.39,12.1
Port Shepstone,13,ZA,1584581903,92,-30.74,30.45,64.13,5.7
Mount Isa,0,AU,1584581903,28,-20.73,139.5,86.0,14.99
Chapais,75,CA,1584581903,78,49.78,-74.85,8.6,2.24
Ribeira Grande,34,PT,1584581904,78,38.52,-28.7,51.71,15.9
Tautira,20,PF,1584581904,63,-17.73,-149.15,91.4,6.93
Morant Bay,20,JM,1584581904,58,17.88,-76.41,82.4,8.05
Hatillo,75,PR,1584581835,84,18.49,-66.83,75.99,3.36
Vitim,100,RU,1584581905,83,59.45,112.56,25.43,14.76
Ughelli,33,NG,1584581906,93,5.49,6.01,78.71,3.83
Międzyrzecz,48,PL,1584581906,41,52.44,15.58,48.99,6.89
Lavrentiya,100,RU,1584581906,97,65.58,-171.0,33.71,26.28
Saint-Joseph,40,RE,1584581906,60,-21.37,55.62,77.0,6.93
Coquimbo,90,CL,1584581770,82,-29.95,-71.34,62.6,4.7
Pevek,100,RU,1584581906,96,69.7,170.31,0.77,14.88
Aklavik,90,CA,1584581906,85,68.22,-135.01,21.2,4.7
Hasaki,20,JP,1584581906,58,35.73,140.83,62.01,4.7
Vysokogornyy,100,RU,1584581906,93,50.12,139.15,28.31,7.65
Departamento de Maldonado,75,UY,1584581906,93,-34.67,-54.92,66.2,4.7
Lafia,14,NG,1584581880,42,8.48,8.52,82.31,4.76
Cedar City,90,US,1584581818,93,37.68,-113.06,37.4,3.36
Mehamn,100,NO,1584581907,82,71.04,27.85,20.75,4.63
San Ramon,40,US,1584581907,76,37.78,-121.98,55.4,4.7
Tiksi,100,RU,1584581907,66,71.69,128.87,0.23,20.51
Kingston,20,JM,1584581907,58,18.0,-76.79,82.4,8.05
Porbandar,0,IN,1584581909,72,21.64,69.61,77.09,9.13
Bariloche,0,AR,1584581909,54,-41.15,-71.31,59.0,19.46
Dalen,90,NL,1584581910,100,52.7,6.76,51.8,6.93
Port Elizabeth,54,ZA,1584581910,88,-33.92,25.57,62.6,3.36
Piopio,98,NZ,1584581910,49,-38.47,175.02,70.0,7.0
Angoche,25,MZ,1584581910,98,-16.23,39.91,72.59,6.24
Fortuna,90,US,1584581910,71,40.6,-124.16,52.0,9.17
Fort Nelson,40,CA,1584581910,90,58.81,-122.7,32.0,6.93
Ipaba,40,BR,1584581910,78,-19.41,-42.42,78.8,5.82
Sørland,100,NO,1584581910,80,67.67,12.69,33.89,36.64
Kahului,40,US,1584581910,51,20.89,-156.47,86.0,10.29
Hamilton,90,US,1584581912,93,39.18,-84.53,62.01,6.51
Kharan,53,PK,1584581913,18,28.58,65.42,68.81,1.99
Adrar,0,MR,1584581914,26,20.5,-10.07,61.25,10.67
Esperance,90,AU,1584581914,77,-33.87,121.9,62.6,13.87
Padang,88,ID,1584581914,77,-0.95,100.35,78.53,1.92
Arrondissement de Beaune,0,FR,1584581914,93,47.08,4.75,46.4,5.82
Bonthe,17,SL,1584581914,81,7.53,-12.51,78.89,6.51
Nishihara,75,JP,1584581914,88,26.18,127.76,71.6,18.34
Oţelu Roşu,0,RO,1584581914,69,45.53,22.37,37.13,1.81
Lata,0,PT,1584581914,76,40.16,-8.33,61.0,2.24
Laas,0,IT,1584581914,92,46.62,10.7,41.0,3.36
Christchurch,0,NZ,1584581744,27,-43.53,172.63,77.0,4.7
Tasiilaq,100,GL,1584581914,61,65.61,-37.64,12.2,2.24
Vestmannaeyjar,0,IS,1584581914,66,63.44,-20.27,31.73,22.39
Havre-St-Pierre,1,CA,1584581915,52,50.23,-63.6,17.6,19.46
Manassas,90,US,1584581781,54,38.75,-77.48,53.6,5.82
Doha,91,QA,1584581915,69,25.29,51.53,77.0,5.82
Barice,0,BA,1584581915,71,44.54,18.48,41.99,2.51
Geraldton,100,AU,1584581916,38,-28.77,114.6,73.99,17.22
Port Macquarie,0,AU,1584581916,53,-31.43,152.92,84.0,13.98
Potosí,100,BO,1584581916,88,-19.58,-65.75,48.29,1.66
Ordu,75,TR,1584581916,100,40.91,37.68,35.6,2.24
Souillac,20,MU,1584581916,88,-20.52,57.52,75.2,2.24
La Rioja,90,ES,1584581917,100,42.25,-2.5,48.2,1.48
Coaldale,90,CA,1584581917,85,49.72,-112.62,21.2,12.75
Rio Branco,40,BR,1584581917,100,-9.97,-67.81,77.0,3.36
Pasco,1,US,1584581917,61,28.29,-82.42,78.01,9.17
Cherskiy,100,RU,1584581917,89,68.75,161.3,-11.29,22.5
Ca Mau,81,VN,1584581727,42,9.18,105.15,91.49,10.13
Sarany,100,RU,1584581918,97,58.5,58.88,31.19,13.98
Tanabe,75,JP,1584581919,72,33.73,135.37,69.01,10.29
Fereydūnkenār,75,IR,1584581919,93,36.69,52.52,50.0,4.7
Wichian Buri,42,TH,1584581919,54,15.66,101.11,90.0,10.38
North Bend,1,US,1584581919,76,43.41,-124.22,53.01,8.05
Ahipara,62,NZ,1584581920,62,-35.17,173.17,66.11,11.81
Kyabram,100,AU,1584581920,27,-36.32,145.05,90.0,7.0
San Quintín,70,MX,1584581920,64,30.48,-115.95,57.47,20.24
Saint-Philippe,40,RE,1584581920,60,-21.36,55.77,77.0,6.93
Hambantota,75,LK,1584581920,100,6.12,81.12,77.0,3.36
Verkhoyansk,77,RU,1584581920,79,67.54,133.38,-2.29,4.63
Airai,79,TL,1584581920,57,-8.93,125.41,79.61,6.35
Tessalit,43,ML,1584581920,16,20.2,1.01,77.99,12.55
Takoradze,70,GH,1584581920,89,4.88,-1.76,79.07,5.32
Abhā,40,SA,1584581921,87,18.22,42.51,60.8,13.87
Sai Buri,20,TH,1584581921,83,6.7,101.62,77.0,5.82
Khatanga,99,RU,1584581921,95,71.97,102.5,1.67,3.29
Derzhavīnsk,1,KZ,1584581921,95,51.1,66.32,18.41,10.18
Clyde River,100,CA,1584581922,91,70.47,-68.59,-0.4,33.33
Port Hedland,0,AU,1584581922,44,-20.32,118.57,93.2,5.82
Egvekinot,100,RU,1584581922,98,66.32,-179.17,29.57,9.4
Sidi Ali,15,DZ,1584581922,89,36.1,0.42,54.77,6.53
Saint-Augustin,0,CA,1584581922,75,51.23,-58.65,11.75,14.16
Carbonia,0,IT,1584581922,93,39.17,8.52,52.0,6.93
Bay Roberts,5,CA,1584581922,68,47.6,-53.26,30.0,21.92
Tura,27,IN,1584581922,29,25.52,90.22,80.87,4.12
Cândido Mendes,95,BR,1584581922,95,-1.45,-45.72,76.37,3.22
Caetité,6,BR,1584581923,92,-14.07,-42.48,66.47,5.46
Gejiu,29,CN,1584581923,52,23.31,103.16,67.73,2.15
Meulaboh,100,ID,1584581923,74,4.14,96.13,81.41,8.52
Chirongui,65,YT,1584581923,88,-12.93,45.15,78.8,3.36
Cuamba,63,MZ,1584581923,98,-14.8,36.54,62.87,2.95
Manacapuru,20,BR,1584581923,83,-3.3,-60.62,80.6,3.36
Yermakovskoye,64,RU,1584581923,74,53.28,92.4,29.21,13.87
Salinópolis,100,BR,1584581923,80,-0.61,-47.36,82.49,11.14
Isiro,100,CD,1584581923,92,2.77,27.62,65.93,2.28
Codrington,100,AU,1584581924,47,-38.27,141.97,75.11,17.4
Takāb,100,IR,1584581924,92,36.4,47.11,33.53,3.49
Bayir,23,TR,1584581924,52,37.27,28.22,41.0,5.82
Steenwijk,90,NL,1584581924,100,52.79,6.12,51.01,6.93
Hornostayivka,0,UA,1584581924,62,47.01,33.73,35.87,6.08
Ilulissat,99,GL,1584581925,41,69.22,-51.1,19.4,9.17
Provideniya,90,RU,1584581925,98,64.38,-173.3,33.8,33.55
Yagodnoye,62,RU,1584581925,81,62.55,149.67,-5.53,4.32
Cheney,1,US,1584581925,40,47.49,-117.58,55.4,6.93
Lüderitz,0,NA,1584581925,87,-26.65,15.16,59.0,4.7
Vila Franca do Campo,75,PT,1584581925,87,37.72,-25.43,57.2,19.46
Port Blair,61,IN,1584581764,68,11.67,92.75,81.59,11.52
Cobija,71,BO,1584581925,79,-11.03,-68.77,72.23,2.48
Olinda,75,BR,1584581904,74,-8.01,-34.86,84.2,5.82
Becerril,0,CO,1584581925,51,9.7,-73.28,79.79,3.78
Norman Wells,75,CA,1584581925,62,65.28,-126.83,24.8,10.29
Bodden Town,20,KY,1584581926,83,19.28,-81.25,78.8,11.41
Paita,96,PE,1584581926,70,-5.09,-81.11,78.71,6.51
Erzurum Province,75,TR,1584581926,94,40.0,41.5,32.0,9.17
Alīganj,100,IN,1584581926,42,27.5,79.18,74.57,1.77
Barra,63,BR,1584581772,74,-11.09,-43.14,79.61,5.7
Batticaloa,15,LK,1584581926,73,7.71,81.69,82.31,2.73
Iracoubo,100,GF,1584581926,78,5.48,-53.2,80.69,16.93
Eureka,75,US,1584581926,71,40.8,-124.16,52.0,12.75
Kirakira,77,SB,1584581926,70,-10.45,161.92,83.93,5.39
Sorong,56,ID,1584581926,55,-0.88,131.25,91.13,2.62
Mandera,51,KE,1584581926,18,3.94,41.87,73.0,6.96
Strezhevoy,100,RU,1584581926,79,60.73,77.59,23.0,13.42
Khāsh,2,IR,1584581928,44,28.22,61.22,59.27,4.74
Te Anau,100,NZ,1584581928,87,-45.42,167.72,56.21,7.43
Sur,0,OM,1584581928,39,22.57,59.53,72.77,6.04
Vaxjo,86,SE,1584581729,100,56.88,14.81,35.6,8.05
Independence,90,US,1584581929,100,39.09,-94.42,59.0,6.93
Talnakh,75,RU,1584581929,83,69.49,88.4,-5.8,17.9
Half Moon Bay,90,US,1584581929,81,37.46,-122.43,55.4,3.36
Hazorasp,0,UZ,1584581929,57,41.32,61.07,48.2,9.17
Bethel,1,US,1584581929,45,41.37,-73.41,46.4,4.7
Fairbanks,75,US,1584581727,74,64.84,-147.72,36.0,9.17
Agua Verde,40,MX,1584581930,64,22.9,-106.05,75.2,4.7
Acapulco de Juárez,5,MX,1584581753,70,16.86,-99.89,84.2,12.75
Bilma,0,NE,1584581930,11,18.69,12.92,70.07,7.11
Khudāganj,98,IN,1584581930,51,28.15,79.72,71.87,5.1
Hearst,98,CA,1584581787,96,49.68,-83.67,17.87,3.47
Yarensk,100,RU,1584581930,98,62.17,49.09,32.45,5.79
Fare,98,PF,1584581930,67,-16.7,-151.02,84.11,6.06
Los Llanos de Aridane,0,ES,1584581930,59,28.66,-17.92,64.4,16.11
Werda,0,BW,1584581930,54,-25.27,23.28,69.53,7.83
Taoudenni,87,ML,1584581930,18,22.68,-3.98,68.09,6.11
Klaksvík,85,FO,1584581932,86,62.23,-6.59,37.4,13.69
Talas,90,TR,1584581932,100,38.69,35.55,24.8,1.34
Santa Rosalía,0,MX,1584581932,69,27.32,-112.28,53.51,14.12
Batagay-Alyta,94,RU,1584581932,74,67.8,130.41,-10.39,7.7
Ürümqi,9,CN,1584581932,54,43.8,87.6,50.0,6.71
San Cristobal,40,VE,1584581932,69,7.77,-72.22,77.0,4.7
Vaitape,100,PF,1584581932,65,-16.52,-151.75,83.93,4.54
Kulhudhuffushi,66,MV,1584581932,73,6.62,73.07,84.65,13.2
Nome,90,US,1584581933,86,64.5,-165.41,30.0,19.46
Lillooet,1,CA,1584581933,27,50.69,-121.94,51.8,1.14
Sumé,97,BR,1584581875,93,-7.67,-36.88,71.69,4.94
Kavaratti,73,IN,1584581933,65,10.57,72.64,83.39,4.18
Bereket,100,TM,1584581933,86,39.24,55.52,47.93,10.87
Bengkulu,100,ID,1584581933,90,-3.8,102.27,76.19,4.85
Lebu,0,CL,1584581933,87,-37.62,-73.65,52.61,7.74
Esim,70,GH,1584581933,89,4.87,-2.24,79.07,5.32
Morehead,90,US,1584581933,100,37.27,-87.18,63.0,3.36
Sitka,90,US,1584581933,86,57.05,-135.33,41.0,6.93
Bambous Virieux,20,MU,1584581934,88,-20.34,57.76,75.2,2.24
Erdenet,100,MN,1584581935,92,49.03,104.08,26.51,8.01
San Juan,0,AR,1584581935,29,-31.54,-68.54,74.57,7.38
Sobolevo,100,RU,1584581935,83,54.43,31.9,45.23,12.95
San Policarpo,14,PH,1584581936,74,12.18,125.51,81.95,9.19
Port Moresby,40,PG,1584581884,66,-9.44,147.18,87.8,11.41
Qena,0,EG,1584581936,62,26.16,32.72,57.2,2.24
Bagdarin,47,RU,1584581936,65,54.43,113.6,24.71,2.8
Santiago del Estero,0,AR,1584581707,68,-27.8,-64.26,67.91,3.04
Halifax,75,CA,1584581859,50,44.65,-63.57,33.8,5.82
Flinders,0,AU,1584581936,29,-34.58,150.86,88.0,8.05
Seminole,1,US,1584581936,78,28.71,-81.21,75.99,8.05
Bandarbeyla,70,SO,1584581936,76,9.49,50.81,80.15,5.97
Koungheul,10,SN,1584581937,36,13.98,-14.8,71.15,10.96
Torbay,5,CA,1584581937,68,47.67,-52.73,30.0,21.92
Kenner,75,US,1584581937,83,29.99,-90.24,75.2,12.75
Palmer,90,US,1584581937,36,42.16,-72.33,46.99,12.75
La Plaine,40,DM,1584581937,83,15.33,-61.25,77.0,4.7
Usinsk,100,RU,1584581937,96,65.99,57.53,21.83,4.45
Domoni,92,KM,1584581937,64,-12.26,44.53,83.57,4.0
College,75,US,1584581937,74,64.86,-147.8,39.2,9.17
Māngrol,28,IN,1584581937,70,21.12,70.12,77.63,11.97
Boyolangu,14,ID,1584581937,65,-8.12,111.89,86.27,0.81
Husavik,90,IS,1584581937,85,66.04,-17.34,23.0,2.24
Sierpc,100,PL,1584581937,82,52.86,19.67,48.29,9.31
Makhu,100,IN,1584581938,55,31.1,75.0,68.63,2.08
Wschowa,42,PL,1584581938,73,51.81,16.32,48.99,1.99
Novikovo,0,RU,1584581939,67,51.15,37.89,33.71,7.9
Cidreira,68,BR,1584581940,91,-30.18,-50.21,74.21,10.04
Maridi,21,SS,1584581940,69,4.92,29.47,70.25,3.09
La Ronge,75,CA,1584581940,46,55.1,-105.28,6.8,3.36
Maricá,75,BR,1584581940,88,-22.92,-42.82,80.6,5.82
Vilcún,0,CL,1584581940,87,-38.65,-72.23,53.6,5.82
Sayyan,95,YE,1584581940,82,15.17,44.32,56.93,5.28
Kurdzhinovo,99,RU,1584581940,88,43.99,40.96,25.07,1.5
Pangnirtung,100,CA,1584581941,79,66.15,-65.71,6.71,11.68
Yar-Sale,87,RU,1584581941,93,66.83,70.83,8.15,7.92
Freeport,1,US,1584581813,68,40.66,-73.58,46.4,11.41
Katsuura,0,JP,1584581941,58,35.13,140.3,64.0,5.82
Cururupu,89,BR,1584581941,98,-1.83,-44.87,74.57,1.01
Aflao,20,TG,1584581941,83,6.12,1.19,82.4,13.87
Kasempa,100,ZM,1584581941,99,-13.46,25.83,61.61,4.72
Vardø,100,NO,1584581941,82,70.37,31.11,25.07,12.82
Naze,75,JP,1584581941,88,28.37,129.48,68.0,23.04
Belmonte,40,BR,1584581942,83,-15.86,-38.88,78.8,5.82
Ponta do Sol,75,PT,1584581942,77,32.67,-17.1,60.8,18.34
Cockburn Town,8,TC,1584581942,76,21.46,-71.14,76.19,21.54
San Rafael,0,AR,1584581942,47,-34.62,-68.33,63.95,2.44
Zunheboto,0,IN,1584581942,34,25.97,94.52,69.53,2.82
Serenje,100,ZM,1584581944,98,-13.23,30.24,61.79,3.67
Bojnourd,90,IR,1584581944,66,37.47,57.33,53.6,2.24
Plainview,1,US,1584581945,53,40.78,-73.47,46.4,11.41
Constitución,1,CL,1584581946,92,-35.33,-72.42,52.79,5.7
Batangafo,80,CF,1584581946,48,7.3,18.28,73.67,2.28
Saint George,1,US,1584581924,75,37.1,-113.58,46.99,4.7
Qaqortoq,75,GL,1584581946,34,60.72,-46.03,35.6,17.22
Kupino,86,RU,1584581946,94,54.37,77.3,22.91,10.51
Salalah,20,OM,1584581946,78,17.02,54.09,73.4,4.7
Bud,90,US,1584581946,100,39.45,-86.18,59.0,4.7
Eldorado,81,BR,1584581948,98,-23.79,-54.28,71.15,4.32
Mnogovershinnyy,97,RU,1584581948,85,53.94,139.92,26.51,3.44
Ciudad Guayana,0,VE,1584581948,73,8.35,-62.65,76.55,7.9
Olafsvik,0,IS,1584581948,59,64.89,-23.71,24.53,5.3
Moerai,0,PF,1584581948,79,-22.43,-151.33,81.59,13.62
Malé,40,MV,1584581845,83,4.17,73.51,84.2,11.41
Chauk,6,MM,1584581948,22,20.88,94.82,85.01,11.23
Svetlaya,100,RU,1584581949,85,46.54,138.33,32.45,7.87
Voinka,0,UA,1584581949,70,45.87,33.99,37.49,8.66
Bathsheba,20,BB,1584581949,74,13.22,-59.52,78.8,13.87
Chul'man,67,RU,1584581949,87,56.85,124.91,18.95,3.42
Kutum,100,SD,1584581949,24,14.2,24.67,56.39,4.76
Malbork,90,PL,1584581949,93,54.04,19.03,48.99,6.93
Carolina,40,PR,1584581950,74,18.38,-65.96,78.8,18.34
São João do Piauí,100,BR,1584581950,93,-8.36,-42.25,73.13,1.99
Tommot,2,RU,1584581950,79,58.96,126.29,25.25,3.96
Garissa,100,KE,1584581950,74,-0.45,39.64,78.71,6.78
Ketchikan,90,US,1584581950,80,55.34,-131.65,42.8,13.87
Ocampo,18,MX,1584581950,47,21.65,-101.5,65.03,4.05
San Jose,75,US,1584581777,76,37.34,-121.89,55.4,7.05
Sfântu Gheorghe,0,RO,1584581951,72,45.87,25.78,32.0,1.01
Malino,20,PH,1584581951,54,15.13,120.67,84.99,9.17
Daru,95,PG,1584581951,61,-9.08,143.21,88.07,9.28
Alyangula,90,AU,1584581951,83,-13.85,136.42,78.8,9.17
Soto la Marina,0,MX,1584581951,86,23.77,-98.22,71.69,14.41
Ancud,75,CL,1584581951,87,-41.87,-73.82,48.2,2.24
Santa Cruz de la Sierra,75,BO,1584581951,88,-17.8,-63.17,75.2,3.36
Camacha,75,PT,1584581952,77,33.08,-16.33,62.6,24.16
Rotnes,0,NO,1584581952,79,60.06,10.86,35.01,5.82
Fort-Shevchenko,100,KZ,1584581952,75,44.51,50.26,44.33,23.98
Maumere,100,ID,1584581952,67,-8.62,122.21,83.39,7.16
Oranjestad,20,AW,1584581952,69,12.52,-70.03,80.6,16.11
Jutaí,100,BR,1584581952,96,-5.18,-68.9,73.67,1.81
Biak,21,ID,1584581952,73,-0.91,122.88,82.31,3.98
Sakaiminato,10,JP,1584581954,45,35.55,133.23,66.2,10.29
Lebyazh'ye,55,RU,1584581955,91,55.27,66.49,25.43,14.07
Glencoe,0,ZA,1584581955,92,-28.18,30.15,54.05,1.52
Erzin,75,TR,1584581955,52,36.96,36.2,46.4,11.41
Forsytheganj,100,BY,1584581955,92,52.63,29.73,44.33,9.46
Taltal,10,CL,1584581955,88,-25.4,-70.48,58.73,0.38
Santa Rosa,20,PH,1584581956,62,14.31,121.11,88.0,6.93
